x,y_true,y_2,y_5,y_10
-6.28319,2.44929e-16,35.0585,3.19508,-8.2741e-05
-6.12412,0.158398,32.1565,2.46726,0.158352
-5.96505,0.312797,29.4095,1.96639,0.312771
-5.80598,0.459297,26.8134,1.63248,0.459284
-5.64691,0.594201,24.3642,1.41831,0.594194
-5.48785,0.714102,22.0579,1.28696,0.714098
-5.32878,0.815972,19.8904,1.20977,0.81597
-5.16971,0.897239,17.8578,1.16478,0.897238
-5.01064,0.955851,15.956,1.13535,0.955851
-4.85157,0.990329,14.181,1.10917,0.990329
-4.69251,0.999802,12.5287,1.07738,0.999802
-4.53344,0.984031,10.9951,1.03391,0.984031
-4.37437,0.943413,9.5763,0.974965,0.943413
-4.2153,0.878975,8.26815,0.89859,0.878975
-4.05623,0.792344,7.06666,0.804311,0.792344
-3.89717,0.685706,5.96779,0.692862,0.685706
-3.7381,0.561754,4.96754,0.56594,0.561754
-3.57903,0.423619,4.06187,0.42601,0.423619
-3.41996,0.274788,3.24676,0.276119,0.274788
-3.26089,0.119018,2.51819,0.119738,0.119018
-3.10183,-0.0397565,1.87212,-0.0393789,-0.0397565
-2.94276,-0.197527,1.30454,-0.197336,-0.197527
-2.78369,-0.350311,0.811412,-0.350218,-0.350311
-2.62462,-0.494249,0.388724,-0.494206,-0.494249
-2.46555,-0.625708,0.0324447,-0.625689,-0.625708
-2.30649,-0.741368,-0.261449,-0.74136,-0.741368
-2.14742,-0.838309,-0.496983,-0.838306,-0.838309
-1.98835,-0.914084,-0.678181,-0.914083,-0.914084
-1.82928,-0.966778,-0.809069,-0.966778,-0.966778
-1.67021,-0.995062,-0.893672,-0.995062,-0.995062
-1.51115,-0.998221,-0.936013,-0.998221,-0.998221
-1.35208,-0.976176,-0.940119,-0.976176,-0.976176
-1.19301,-0.929483,-0.910014,-0.929483,-0.929483
-1.03394,-0.859322,-0.849722,-0.859322,-0.859322
-0.874874,-0.767463,-0.763269,-0.767463,-0.767463
-0.715806,-0.656226,-0.654679,-0.656226,-0.656226
-0.556738,-0.52842,-0.527977,-0.52842,-0.52842
-0.39767,-0.387271,-0.387189,-0.387271,-0.387271
-0.238602,-0.236344,-0.236338,-0.236344,-0.236344
-0.079534,-0.0794502,-0.0794501,-0.0794502,-0.0794502
0.079534,0.0794502,0.0794501,0.0794502,0.0794502
0.238602,0.236344,0.236338,0.236344,0.236344
0.39767,0.387271,0.387189,0.387271,0.387271
0.556738,0.52842,0.527977,0.52842,0.52842
0.715806,0.656226,0.654679,0.656226,0.656226
0.874874,0.767463,0.763269,0.767463,0.767463
1.03394,0.859322,0.849722,0.859322,0.859322
1.19301,0.929483,0.910014,0.929483,0.929483
1.35208,0.976176,0.940119,0.976176,0.976176
1.51115,0.998221,0.936013,0.998221,0.998221
1.67021,0.995062,0.893672,0.995062,0.995062
1.82928,0.966778,0.809069,0.966778,0.966778
1.98835,0.914084,0.678181,0.914083,0.914084
2.14742,0.838309,0.496983,0.838306,0.838309
2.30649,0.741368,0.261449,0.74136,0.741368
2.46555,0.625708,-0.0324447,0.625689,0.625708
2.62462,0.494249,-0.388724,0.494206,0.494249
2.78369,0.350311,-0.811412,0.350218,0.350311
2.94276,0.197527,-1.30454,0.197336,0.197527
3.10183,0.0397565,-1.87212,0.0393789,0.0397565
3.26089,-0.119018,-2.51819,-0.119738,-0.119018
3.41996,-0.274788,-3.24676,-0.276119,-0.274788
3.57903,-0.423619,-4.06187,-0.42601,-0.423619
3.7381,-0.561754,-4.96754,-0.56594,-0.561754
3.89717,-0.685706,-5.96779,-0.692862,-0.685706
4.05623,-0.792344,-7.06666,-0.804311,-0.792344
4.2153,-0.878975,-8.26815,-0.89859,-0.878975
4.37437,-0.943413,-9.5763,-0.974965,-0.943413
4.53344,-0.984031,-10.9951,-1.03391,-0.984031
4.69251,-0.999802,-12.5287,-1.07738,-0.999802
4.85157,-0.990329,-14.181,-1.10917,-0.990329
5.01064,-0.955851,-15.956,-1.13535,-0.955851
5.16971,-0.897239,-17.8578,-1.16478,-0.897238
5.32878,-0.815972,-19.8904,-1.20977,-0.81597
5.48785,-0.714102,-22.0579,-1.28696,-0.714098
5.64691,-0.594201,-24.3642,-1.41831,-0.594194
5.80598,-0.459297,-26.8134,-1.63248,-0.459284
5.96505,-0.312797,-29.4095,-1.96639,-0.312771
6.12412,-0.158398,-32.1565,-2.46726,-0.158352
6.28319,1.53143e-15,-35.0585,-3.19508,8.2741e-05
